school_id,school_name,district,mandal,school_type,area_type,enrollment,boys,girls,teachers,toilets,electricity,internet,playground,library,digital_classrooms,attendance_rate,dropout_rate,infrastructure_score,teacher_student_ratio
TS039,Telangana Model School Suryapet,Nalgonda,Suryapet,Government,Urban,656,340,316,45,Yes,Yes,Yes,Yes,Yes,10,73.4,3.8,100,14.6
TS040,KGBV Hanamkonda,Warangal,Hanamkonda,Private,Rural,981,477,504,40,Yes,Yes,Yes,Yes,Yes,4,79.7,3.0,96,24.5
TS041,KGBV Ibrahimpatnam,Rangareddy,Ibrahimpatnam,Aided,Rural,893,449,444,33,Yes,No,Yes,Yes,Yes,1,82.2,3.6,82,27.1
TS042,Govt High School Amberpet,Hyderabad,Amberpet,Government,Rural,1152,566,586,24,Yes,Yes,Yes,Yes,No,0,91.8,2.1,80,48.0
TS043,Telangana Model School Jammikunta,Karimnagar,Jammikunta,Government,Rural,731,360,371,19,Yes,Yes,Yes,Yes,Yes,4,89.1,1.3,96,38.5
TS044,KGBV Armoor,Nizamabad,Armoor,Aided,Rural,880,439,441,51,Yes,Yes,Yes,Yes,Yes,8,93.1,1.0,100,17.3
TS045,ZPHS Jammikunta,Karimnagar,Jammikunta,Private,Rural,1269,572,697,38,Yes,Yes,Yes,Yes,No,0,83.5,3.6,80,33.4
TS046,MJPTBCWREIS Narayanpet,Mahabubnagar,Narayanpet,Government,Rural,261,120,141,9,Yes,Yes,No,Yes,Yes,5,77.1,4.2,86,29.0
TS047,MJPTBCWREIS Sangareddy,Medak,Sangareddy,Government,Urban,1439,757,682,27,Yes,Yes,Yes,Yes,Yes,8,76.7,3.2,100,53.3
TS048,KGBV Kazipet,Warangal,Kazipet,Government,Urban,883,397,486,8,Yes,Yes,No,Yes,Yes,1,92.1,2.0,80,110.4
TS049,Govt High School Bheemgal,Nizamabad,Bheemgal,Private,Urban,625,324,301,38,Yes,Yes,Yes,Yes,No,3,76.5,4.5,84,16.4
TS050,MJPTBCWREIS Bodhan,Nizamabad,Bodhan,Government,Urban,699,350,349,21,Yes,No,Yes,Yes,Yes,0,78.8,4.4,80,33.3
TS051,Telangana Model School Hanamkonda,Warangal,Hanamkonda,Government,Urban,1496,681,815,43,Yes,Yes,Yes,Yes,Yes,7,88.8,1.0,100,34.8
TS052,Telangana Model School Chevella,Rangareddy,Chevella,Private,Rural,1146,598,548,40,Yes,Yes,Yes,Yes,No,2,83.6,3.3,83,28.6
TS053,Telangana Model School Utnoor,Adilabad,Utnoor,Government,Urban,673,343,330,48,Yes,Yes,No,Yes,Yes,1,92.1,2.0,80,14.0
TS054,ZPHS Shamshabad,Rangareddy,Shamshabad,Government,Urban,752,407,345,50,Yes,Yes,Yes,Yes,Yes,3,88.4,1.6,94,15.0
TS055,Govt High School Miryalaguda,Nalgonda,Miryalaguda,Government,Rural,1366,660,706,43,Yes,Yes,Yes,No,No,8,81.2,3.7,84,31.8
TS056,Residential School Jadcherla,Mahabubnagar,Jadcherla,Private,Urban,1084,515,569,52,Yes,Yes,Yes,Yes,Yes,2,93.6,1.0,93,20.8
TS057,Telangana Model School Miryalaguda,Nalgonda,Miryalaguda,Private,Rural,1300,632,668,12,Yes,No,Yes,Yes,Yes,4,87.0,2.5,86,108.3
TS058,Govt High School Bodhan,Nizamabad,Bodhan,Government,Rural,439,204,235,22,Yes,Yes,Yes,Yes,No,10,86.2,1.9,95,20.0
TS059,Residential School Shamshabad,Rangareddy,Shamshabad,Government,Urban,470,212,258,52,Yes,Yes,Yes,Yes,Yes,8,81.7,2.3,100,9.0
TS060,ZPHS Shamshabad,Rangareddy,Shamshabad,Government,Rural,366,165,201,38,Yes,Yes,Yes,Yes,Yes,3,95.7,1.0,94,9.6
TS061,MJPTBCWREIS Devarakonda,Nalgonda,Devarakonda,Private,Rural,656,360,296,28,Yes,Yes,Yes,Yes,Yes,10,77.5,3.1,100,23.4
TS062,KGBV Chevella,Rangareddy,Chevella,Private,Urban,1414,672,742,42,Yes,Yes,No,Yes,No,7,80.1,4.3,78,33.7
TS063,Residential School Sangareddy,Medak,Sangareddy,Government,Urban,406,222,184,31,Yes,No,Yes,Yes,Yes,1,90.8,2.1,82,13.1
TS064,Govt High School Huzurabad,Karimnagar,Huzurabad,Private,Urban,552,297,255,11,Yes,Yes,Yes,No,Yes,7,83.1,2.7,92,50.2
TS065,Residential School Shamshabad,Rangareddy,Shamshabad,Government,Rural,1451,784,667,49,Yes,Yes,No,Yes,Yes,10,93.5,1.0,93,29.6
TS066,Residential School Nirmal,Adilabad,Nirmal,Government,Urban,1273,634,639,26,Yes,Yes,Yes,Yes,Yes,7,76.8,3.2,100,49.0
TS067,KGBV Narayanpet,Mahabubnagar,Narayanpet,Government,Urban,664,346,318,31,Yes,Yes,Yes,Yes,Yes,5,77.1,3.3,98,21.4
TS068,KGBV Manakondur,Karimnagar,Manakondur,Government,Urban,1205,657,548,32,Yes,Yes,Yes,Yes,Yes,5,77.9,3.1,98,37.7
TS069,Govt High School Chevella,Rangareddy,Chevella,Government,Rural,723,328,395,55,Yes,Yes,Yes,Yes,No,8,91.7,1.1,92,13.1
TS070,Telangana Model School Huzurabad,Karimnagar,Huzurabad,Private,Urban,1450,667,783,53,Yes,Yes,No,Yes,Yes,4,82.3,3.5,84,27.4
TS071,ZPHS Kazipet,Warangal,Kazipet,Government,Urban,348,178,170,42,Yes,Yes,Yes,Yes,No,2,73.5,5.1,83,8.3
TS072,KGBV Toopran,Medak,Toopran,Aided,Urban,1462,746,716,43,Yes,Yes,No,Yes,Yes,10,93.5,1.0,93,34.0
TS073,Residential School Bheemgal,Nizamabad,Bheemgal,Aided,Urban,1328,639,689,49,Yes,Yes,Yes,Yes,No,4,89.4,2.0,86,27.1
TS074,ZPHS Hanamkonda,Warangal,Hanamkonda,Government,Urban,989,521,468,13,Yes,Yes,No,Yes,Yes,2,71.4,5.7,81,76.1
TS075,Govt High School Kothagudem,Khammam,Kothagudem,Government,Rural,880,418,462,52,Yes,Yes,Yes,Yes,Yes,7,82.9,2.1,100,16.9
TS076,MJPTBCWREIS Manakondur,Karimnagar,Manakondur,Private,Urban,383,195,188,13,Yes,Yes,No,Yes,Yes,4,95.9,1.0,84,29.5
TS077,Residential School Huzurabad,Karimnagar,Huzurabad,Government,Rural,610,322,288,36,Yes,Yes,Yes,Yes,Yes,4,77.2,3.4,96,16.9
TS078,ZPHS Amberpet,Hyderabad,Amberpet,Private,Urban,532,278,254,55,Yes,Yes,Yes,Yes,Yes,0,73.9,4.5,90,9.7
TS079,KGBV Nirmal,Adilabad,Nirmal,Private,Urban,447,229,218,20,Yes,Yes,Yes,Yes,Yes,8,78.3,2.9,100,22.4
TS080,MJPTBCWREIS Toopran,Medak,Toopran,Government,Urban,975,522,453,47,Yes,Yes,Yes,Yes,Yes,5,81.6,2.5,98,20.7
TS081,Residential School Shadnagar,Mahabubnagar,Shadnagar,Government,Urban,661,305,356,12,Yes,Yes,Yes,No,Yes,7,74.6,4.2,92,55.1
TS082,Residential School Sangareddy,Medak,Sangareddy,Private,Urban,489,266,223,28,Yes,Yes,Yes,No,No,6,95.7,1.3,81,17.5
TS083,Telangana Model School Kothagudem,Khammam,Kothagudem,Government,Rural,1438,716,722,23,Yes,Yes,Yes,Yes,Yes,9,90.1,1.0,100,62.5
TS084,ZPHS Sangareddy,Medak,Sangareddy,Government,Rural,550,288,262,15,Yes,Yes,Yes,Yes,Yes,3,88.6,1.5,94,36.7
TS085,ZPHS Shadnagar,Mahabubnagar,Shadnagar,Government,Rural,1137,590,547,46,Yes,Yes,Yes,Yes,No,2,87.3,2.6,83,24.7
TS086,Govt High School Devarakonda,Nalgonda,Devarakonda,Government,Rural,1154,566,588,32,Yes,Yes,Yes,Yes,No,8,86.4,2.1,92,36.1
TS087,Govt High School Toopran,Medak,Toopran,Government,Rural,1457,704,753,29,Yes,Yes,Yes,Yes,Yes,6,82.3,2.3,99,50.2
TS088,MJPTBCWREIS Utnoor,Adilabad,Utnoor,Government,Urban,268,137,131,11,Yes,Yes,Yes,Yes,Yes,3,82.0,2.7,94,24.4
TS089,MJPTBCWREIS Jammikunta,Karimnagar,Jammikunta,Private,Rural,1203,588,615,53,Yes,Yes,Yes,Yes,No,4,93.7,1.3,86,22.7
TS090,KGBV Wyra,Khammam,Wyra,Private,Urban,378,204,174,38,Yes,Yes,Yes,No,Yes,3,94.8,1.1,86,9.9
TS091,MJPTBCWREIS Jadcherla,Mahabubnagar,Jadcherla,Government,Urban,939,465,474,11,Yes,Yes,Yes,Yes,Yes,2,74.7,4.1,93,85.4
TS092,Telangana Model School Suryapet,Nalgonda,Suryapet,Government,Rural,1316,638,678,32,Yes,Yes,Yes,Yes,No,10,95.8,1.0,95,41.1
TS093,KGBV Jammikunta,Karimnagar,Jammikunta,Government,Rural,345,189,156,27,Yes,Yes,Yes,Yes,No,3,91.0,1.9,84,12.8
TS094,Telangana Model School Shamshabad,Rangareddy,Shamshabad,Government,Rural,271,142,129,55,Yes,Yes,Yes,Yes,Yes,5,90.0,1.0,98,4.9
TS095,MJPTBCWREIS Hanamkonda,Warangal,Hanamkonda,Government,Urban,773,396,377,55,Yes,Yes,Yes,Yes,Yes,1,91.2,1.2,92,14.1
TS096,Residential School Kazipet,Warangal,Kazipet,Government,Urban,647,330,317,53,Yes,Yes,No,Yes,No,7,84.0,3.6,78,12.2
TS097,Telangana Model School Kothagudem,Khammam,Kothagudem,Aided,Urban,1260,614,646,47,Yes,Yes,Yes,Yes,Yes,9,90.2,1.0,100,26.8
TS098,Govt High School Parkal,Warangal,Parkal,Government,Rural,938,424,514,28,Yes,Yes,Yes,Yes,Yes,4,74.0,4.0,96,33.5
TS099,Telangana Model School Utnoor,Adilabad,Utnoor,Private,Urban,1286,691,595,36,Yes,Yes,Yes,Yes,Yes,9,92.2,1.0,100,35.7
TS100,MJPTBCWREIS Narayanpet,Mahabubnagar,Narayanpet,Private,Urban,966,443,523,23,Yes,Yes,Yes,Yes,Yes,3,89.4,1.4,94,42.0
TS101,ZPHS Miryalaguda,Nalgonda,Miryalaguda,Private,Urban,1172,558,614,8,Yes,Yes,No,Yes,Yes,6,80.0,3.6,87,146.5
TS102,Telangana Model School Suryapet,Nalgonda,Suryapet,Government,Rural,570,307,263,39,Yes,Yes,Yes,Yes,No,9,83.4,2.5,94,14.6
TS103,KGBV Sangareddy,Medak,Sangareddy,Government,Urban,328,156,172,55,Yes,Yes,Yes,No,Yes,9,94.3,1.0,96,6.0
TS104,MJPTBCWREIS Toopran,Medak,Toopran,Government,Rural,1279,590,689,25,Yes,Yes,No,Yes,Yes,1,92.2,2.0,80,51.2
TS105,Govt High School Bodhan,Nizamabad,Bodhan,Aided,Urban,619,318,301,16,Yes,Yes,Yes,Yes,Yes,6,97.0,1.0,99,38.7
TS106,ZPHS Kothagudem,Khammam,Kothagudem,Aided,Rural,439,197,242,39,Yes,Yes,Yes,No,No,10,92.3,1.4,87,11.3
TS107,Govt High School Kothagudem,Khammam,Kothagudem,Government,Urban,710,385,325,47,Yes,Yes,Yes,Yes,No,10,89.5,1.3,95,15.1
TS108,ZPHS Jammikunta,Karimnagar,Jammikunta,Government,Urban,1398,684,714,14,Yes,Yes,Yes,Yes,Yes,1,92.1,1.1,92,99.9
TS109,Residential School Suryapet,Nalgonda,Suryapet,Government,Urban,1046,494,552,45,Yes,Yes,Yes,Yes,No,6,95.8,1.0,89,23.2
TS110,ZPHS Chevella,Rangareddy,Chevella,Government,Urban,1470,796,674,36,Yes,Yes,Yes,Yes,Yes,2,88.5,1.6,93,40.8
TS111,Residential School Ibrahimpatnam,Rangareddy,Ibrahimpatnam,Government,Urban,719,380,339,55,Yes,Yes,Yes,Yes,Yes,6,96.5,1.0,99,13.1
TS112,KGBV Jadcherla,Mahabubnagar,Jadcherla,Government,Urban,1498,777,721,32,Yes,Yes,Yes,No,Yes,10,73.8,4.0,97,46.8
TS113,KGBV Narsapur,Medak,Narsapur,Government,Urban,994,519,475,12,Yes,Yes,No,No,Yes,10,84.2,3.0,85,82.8
TS114,Govt High School Chevella,Rangareddy,Chevella,Government,Rural,855,438,417,40,Yes,Yes,Yes,Yes,Yes,10,85.6,1.6,100,21.4
TS115,Govt High School Kazipet,Warangal,Kazipet,Government,Urban,1496,765,731,13,Yes,Yes,Yes,Yes,No,5,73.1,4.8,88,115.1
TS116,Govt High School Huzurabad,Karimnagar,Huzurabad,Government,Urban,576,261,315,54,Yes,Yes,Yes,Yes,Yes,1,92.0,1.1,92,10.7
TS117,KGBV Shamshabad,Rangareddy,Shamshabad,Government,Urban,793,400,393,37,Yes,Yes,No,Yes,Yes,6,82.3,3.2,87,21.4
TS118,MJPTBCWREIS Secunderabad,Hyderabad,Secunderabad,Private,Urban,821,388,433,11,Yes,Yes,Yes,Yes,Yes,6,83.1,2.1,99,74.6
TS119,Govt High School Nirmal,Adilabad,Nirmal,Private,Rural,1227,609,618,21,Yes,Yes,Yes,Yes,No,9,87.1,1.8,94,58.4
TS120,MJPTBCWREIS Narayanpet,Mahabubnagar,Narayanpet,Private,Rural,402,218,184,9,Yes,No,Yes,Yes,Yes,5,72.3,4.9,88,44.7
TS121,Govt High School Chevella,Rangareddy,Chevella,Government,Urban,880,416,464,38,Yes,Yes,Yes,Yes,Yes,5,79.6,2.8,98,23.2
TS122,MJPTBCWREIS Wyra,Khammam,Wyra,Government,Urban,561,284,277,33,Yes,Yes,Yes,Yes,Yes,0,76.6,4.0,90,17.0
TS123,MJPTBCWREIS Huzurabad,Karimnagar,Huzurabad,Government,Urban,1228,661,567,20,Yes,No,Yes,Yes,No,3,78.3,5.0,74,61.4
TS124,KGBV Jadcherla,Mahabubnagar,Jadcherla,Aided,Urban,1167,628,539,11,Yes,Yes,No,Yes,Yes,4,72.7,5.2,84,106.1
TS125,KGBV Devarakonda,Nalgonda,Devarakonda,Government,Urban,559,259,300,45,Yes,Yes,Yes,Yes,Yes,0,82.1,3.0,90,12.4
TS126,KGBV Huzurabad,Karimnagar,Huzurabad,Government,Urban,309,165,144,29,Yes,Yes,No,Yes,Yes,10,73.1,4.4,93,10.7
TS127,Residential School Palair,Khammam,Palair,Aided,Rural,902,459,443,17,Yes,Yes,No,Yes,No,8,91.9,2.1,80,53.1
TS128,KGBV Toopran,Medak,Toopran,Government,Urban,1450,783,667,43,Yes,Yes,Yes,Yes,No,7,72.5,4.8,90,33.7
TS129,KGBV Manakondur,Karimnagar,Manakondur,Government,Urban,1209,626,583,45,Yes,Yes,No,Yes,Yes,2,83.5,3.5,81,26.9
TS130,Govt High School Amberpet,Hyderabad,Amberpet,Private,Urban,971,467,504,24,Yes,Yes,Yes,No,No,9,93.5,1.3,86,40.5
TS131,Residential School Nirmal,Adilabad,Nirmal,Government,Urban,1364,735,629,46,Yes,Yes,No,Yes,No,6,90.6,2.5,77,29.7
TS132,ZPHS Shamshabad,Rangareddy,Shamshabad,Government,Urban,450,239,211,23,Yes,Yes,No,Yes,Yes,10,75.6,4.0,93,19.6
TS133,ZPHS Shamshabad,Rangareddy,Shamshabad,Private,Urban,1204,623,581,27,Yes,Yes,Yes,Yes,Yes,8,83.6,2.0,100,44.6
TS134,MJPTBCWREIS Boath,Adilabad,Boath,Government,Rural,1380,664,716,26,Yes,No,Yes,Yes,Yes,5,96.1,1.0,88,53.1
TS135,MJPTBCWREIS Secunderabad,Hyderabad,Secunderabad,Government,Rural,754,363,391,27,Yes,Yes,Yes,Yes,Yes,6,93.4,1.0,99,27.9
TS136,Telangana Model School Huzurabad,Karimnagar,Huzurabad,Aided,Rural,896,483,413,24,Yes,Yes,Yes,No,Yes,10,79.4,2.9,97,37.3
TS137,KGBV Toopran,Medak,Toopran,Government,Urban,511,258,253,30,Yes,Yes,Yes,Yes,Yes,4,85.0,2.0,96,17.0
TS138,KGBV Parkal,Warangal,Parkal,Aided,Rural,1276,694,582,29,Yes,Yes,Yes,No,Yes,5,88.2,1.9,90,44.0
TS139,Govt High School Kazipet,Warangal,Kazipet,Government,Rural,581,266,315,39,Yes,Yes,Yes,Yes,Yes,10,82.7,2.1,100,14.9
TS140,MJPTBCWREIS Narsapur,Medak,Narsapur,Private,Urban,748,399,349,33,Yes,Yes,Yes,Yes,Yes,5,84.1,2.0,98,22.7
TS141,ZPHS Bodhan,Nizamabad,Bodhan,Government,Urban,909,460,449,21,Yes,Yes,Yes,No,Yes,10,88.3,1.3,97,43.3
TS142,Telangana Model School Boath,Adilabad,Boath,Aided,Rural,270,135,135,46,Yes,Yes,No,Yes,Yes,5,89.6,2.0,86,5.9
TS143,Residential School Palair,Khammam,Palair,Government,Rural,1002,551,451,27,Yes,Yes,Yes,Yes,Yes,1,88.2,1.8,92,37.1
TS144,MJPTBCWREIS Toopran,Medak,Toopran,Government,Urban,337,175,162,54,Yes,Yes,Yes,Yes,Yes,7,84.0,1.9,100,6.2
TS145,Govt High School Chevella,Rangareddy,Chevella,Private,Urban,554,296,258,22,Yes,No,Yes,Yes,Yes,1,93.7,1.6,82,25.2
TS146,ZPHS Charminar,Hyderabad,Charminar,Government,Urban,859,469,390,53,Yes,Yes,Yes,No,No,4,82.4,3.9,78,16.2
TS147,KGBV Hanamkonda,Warangal,Hanamkonda,Aided,Urban,548,296,252,45,Yes,Yes,No,Yes,No,9,83.5,3.4,82,12.2
TS148,Telangana Model School Miryalaguda,Nalgonda,Miryalaguda,Private,Urban,329,177,152,22,Yes,Yes,Yes,Yes,Yes,10,91.9,1.0,100,15.0
TS149,Telangana Model School Narsapur,Medak,Narsapur,Aided,Urban,959,434,525,23,Yes,Yes,No,Yes,No,6,86.3,3.3,77,41.7
TS150,Govt High School Manakondur,Karimnagar,Manakondur,Aided,Rural,970,504,466,11,Yes,No,Yes,Yes,Yes,2,86.3,2.8,83,88.2
TS151,KGBV Amberpet,Hyderabad,Amberpet,Government,Urban,864,409,455,51,Yes,Yes,Yes,Yes,No,8,73.0,4.5,92,16.9
TS152,MJPTBCWREIS Chevella,Rangareddy,Chevella,Government,Rural,1168,531,637,9,Yes,Yes,No,Yes,Yes,5,76.7,4.3,86,129.8
TS153,Telangana Model School Secunderabad,Hyderabad,Secunderabad,Government,Urban,628,298,330,10,Yes,Yes,Yes,Yes,Yes,2,93.4,1.0,93,62.8
TS154,MJPTBCWREIS Shadnagar,Mahabubnagar,Shadnagar,Government,Urban,1204,616,588,25,Yes,Yes,Yes,No,Yes,8,84.2,2.3,94,48.2
TS155,ZPHS Suryapet,Nalgonda,Suryapet,Government,Rural,709,334,375,45,Yes,Yes,No,Yes,Yes,0,83.6,3.7,78,15.8
TS156,KGBV Hanamkonda,Warangal,Hanamkonda,Government,Rural,345,175,170,19,Yes,Yes,Yes,Yes,Yes,9,91.2,1.0,100,18.2
TS157,ZPHS Devarakonda,Nalgonda,Devarakonda,Government,Urban,970,440,530,12,Yes,Yes,Yes,Yes,Yes,1,76.0,4.0,92,80.8
TS158,Govt High School Amberpet,Hyderabad,Amberpet,Government,Urban,1492,765,727,41,Yes,Yes,No,Yes,Yes,6,95.0,1.0,87,36.4
TS159,KGBV Jadcherla,Mahabubnagar,Jadcherla,Government,Urban,1093,571,522,35,Yes,Yes,Yes,Yes,Yes,1,74.1,4.3,92,31.2
TS160,KGBV Armoor,Nizamabad,Armoor,Government,Urban,795,363,432,14,Yes,Yes,Yes,Yes,Yes,7,85.9,1.5,100,56.8
TS161,ZPHS Hanamkonda,Warangal,Hanamkonda,Private,Urban,430,196,234,9,Yes,Yes,No,No,Yes,0,75.1,5.9,70,47.8
TS162,Residential School Miryalaguda,Nalgonda,Miryalaguda,Private,Urban,1025,543,482,9,Yes,Yes,Yes,No,Yes,10,84.6,2.0,97,113.9
TS163,MJPTBCWREIS Armoor,Nizamabad,Armoor,Private,Rural,1167,577,590,23,Yes,Yes,Yes,Yes,Yes,2,90.8,1.2,93,50.7
TS164,Residential School Miryalaguda,Nalgonda,Miryalaguda,Aided,Rural,580,284,296,18,Yes,Yes,Yes,Yes,Yes,8,82.0,2.2,100,32.2
TS165,ZPHS Secunderabad,Hyderabad,Secunderabad,Government,Urban,1309,626,683,53,Yes,Yes,Yes,Yes,Yes,7,96.1,1.0,100,24.7
TS166,ZPHS Miryalaguda,Nalgonda,Miryalaguda,Private,Urban,1220,593,627,49,Yes,Yes,Yes,Yes,Yes,2,86.8,1.9,93,24.9
TS167,MJPTBCWREIS Bheemgal,Nizamabad,Bheemgal,Government,Urban,271,126,145,17,Yes,Yes,Yes,Yes,Yes,1,83.3,2.6,92,15.9
TS168,ZPHS Amberpet,Hyderabad,Amberpet,Government,Urban,971,476,495,38,Yes,Yes,No,No,Yes,9,72.2,5.3,84,25.6
TS169,Govt High School Chevella,Rangareddy,Chevella,Government,Urban,490,239,251,39,Yes,Yes,No,No,Yes,5,74.0,5.4,78,12.6
TS170,ZPHS Shadnagar,Mahabubnagar,Shadnagar,Government,Rural,1493,810,683,18,Yes,Yes,Yes,Yes,Yes,9,76.3,3.3,100,82.9
TS171,KGBV Narayanpet,Mahabubnagar,Narayanpet,Private,Urban,707,382,325,30,Yes,Yes,Yes,Yes,Yes,7,92.7,1.0,100,23.6
TS172,MJPTBCWREIS Palair,Khammam,Palair,Aided,Urban,1473,781,692,24,Yes,Yes,Yes,No,No,3,90.4,2.6,76,61.4
TS173,MJPTBCWREIS Wyra,Khammam,Wyra,Government,Urban,469,229,240,9,Yes,Yes,No,Yes,Yes,1,75.5,5.0,80,52.1
TS174,KGBV Palair,Khammam,Palair,Private,Urban,1324,652,672,19,Yes,Yes,Yes,Yes,Yes,7,85.0,1.7,100,69.7
